Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Proton Density, n/cc
 4 Flow pressure, nPa
 5 SYM/D, nT

YYYY DOY HR MN      1       2      3     4     5 
2017 110  4 23   -7.03   529.7  11.85  6.65     7
2017 110  4 24   -6.14   532.5  11.32  6.42     7
2017 110  4 25   -6.18   532.3  10.88  6.17     7
2017 110  4 26   -6.53   540.1  11.10  6.48     7
2017 110  4 27   -4.56   537.3  11.34  6.55     7
2017 110  4 28   -3.37   535.2  11.48  6.58     8
2017 110  4 29    2.61   545.8  10.48  6.24     8
2017 110  4 30    2.17   533.1   9.87  5.61     8
2017 110  4 31    3.49   532.4  10.61  6.01     8
2017 110  4 32    2.22   533.4  11.65  6.63     8
2017 110  4 33    0.51   537.8  11.08  6.41     8
2017 110  4 34   -0.81   536.6  10.99  6.33     8
2017 110  4 35   -1.46   536.2  11.50  6.61     8
2017 110  4 36   -0.55   536.2  11.52  6.62     8
2017 110  4 37    0.39 99999.9 999.99 99.99     7
2017 110  4 38   -0.53   533.9  11.39  6.49     7
2017 110  4 39   -1.80   533.9  11.39  6.49     7
2017 110  4 40   -1.46 99999.9 999.99 99.99     6
2017 110  4 41    0.26   537.9  10.89  6.30     5
2017 110  4 42    0.52   537.4  11.02  6.37     5
2017 110  4 43   -0.15   536.3  11.32  6.51     5
2017 110  4 44    0.50   535.6  10.99  6.31     5
2017 110  4 45    2.12   537.9  11.25  6.51     4
2017 110  4 46    2.26   535.9  11.27  6.47     4
2017 110  4 47    2.13   534.9  11.10  6.35     4
2017 110  4 48    1.29   537.5  11.27  6.51     3
2017 110  4 49    1.22   544.7  11.10  6.59     4
2017 110  4 50    1.25   542.1  11.67  6.86     4
2017 110  4 51   -0.37   540.8  11.07  6.48     3
2017 110  4 52   -1.99   540.2  10.80  6.30     3
2017 110  4 53   -0.99   534.2  12.62  7.20     2
2017 110  4 54 9999.99   534.2  12.62  7.20     2
2017 110  4 55 9999.99 99999.9 999.99 99.99     2
2017 110  4 56    1.32 99999.9 999.99 99.99     1
2017 110  4 57    2.09   546.8  10.90  6.52     1
2017 110  4 58    3.09   544.8  11.10  6.59     1
2017 110  4 59    4.80   547.6  10.37  6.22     1
2017 110  5  0    5.03   540.1   9.76  5.69     1
2017 110  5  1    4.63 99999.9 999.99 99.99     0
2017 110  5  2    4.46 99999.9 999.99 99.99     0
2017 110  5  3    5.39   536.6  10.20  5.87     0
2017 110  5  4    5.02   536.6  10.20  5.87     0
2017 110  5  5    5.36   530.8  11.50  6.48     0
2017 110  5  6    5.13   530.8  11.50  6.48     0
2017 110  5  7    3.54 99999.9 999.99 99.99     1
2017 110  5  8    2.94   555.8  10.47  6.47     0
2017 110  5  9    4.21   555.8  10.47  6.47     0
2017 110  5 10 9999.99 99999.9 999.99 99.99     0
2017 110  5 11    3.60   545.1  12.50  7.43     1
2017 110  5 12    3.74   544.6  12.27  7.28     1
2017 110  5 13    2.96   543.1  11.49  6.78     1
2017 110  5 14    3.62   551.5  11.59  7.05     1
2017 110  5 15    2.83   546.7  11.25  6.72     1
2017 110  5 16    2.37   544.8  12.58  7.47     1
2017 110  5 17    0.97   538.5  12.76  7.40     1
2017 110  5 18    1.67   533.8  12.62  7.19     1
2017 110  5 19    5.19   554.9  12.15  7.48     1
2017 110  5 20    5.78   554.3  12.14  7.46     1
2017 110  5 21    5.63   547.7  11.71  7.03     2
2017 110  5 22    4.26   544.3  11.55  6.84     1
2017 110  5 23    1.21   541.7  11.09  6.51     1
2017 110  5 24   -3.54   522.8  15.78  8.63     2
2017 110  5 25   -6.41   522.8  15.78  8.63     1
2017 110  5 26   -6.72   519.2  17.34  9.35     1
2017 110  5 27   -7.48   519.2  17.34  9.35     2
2017 110  5 28   -7.36   524.9  16.75  9.23     1
2017 110  5 29   -6.49   524.9  16.75  9.23     1
2017 110  5 30 9999.99 99999.9 999.99 99.99     1
2017 110  5 31   -2.62   525.3  15.86  8.75     1
2017 110  5 32   -8.36   526.4  17.66  9.79     1
2017 110  5 33   -7.72   526.5  17.74  9.84     1
