Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Proton Density, n/cc
 4 Flow pressure, nPa
 5 SYM/H, nT

YYYY DOY HR MN      1       2      3     4     5 
2017 196  7 46   -0.63   333.3   5.61  1.25     4
2017 196  7 47   -0.76   332.5   5.62  1.24     4
2017 196  7 48   -0.54   331.9   5.30  1.17     5
2017 196  7 49   -0.63   333.3   5.38  1.20     4
2017 196  7 50   -0.77   334.0   5.62  1.25     4
2017 196  7 51   -0.68   334.3   5.65  1.26     4
2017 196  7 52   -0.64   334.5   5.30  1.19     4
2017 196  7 53   -0.65   334.9   5.76  1.29     4
2017 196  7 54   -0.68   334.7   5.87  1.32     4
2017 196  7 55   -0.88   333.3   6.22  1.38     4
2017 196  7 56   -0.96   333.5   6.01  1.34     4
2017 196  7 57   -0.47   334.3   5.56  1.24     4
2017 196  7 58   -0.86   334.5   5.44  1.22     4
2017 196  7 59   -0.63   334.5   5.59  1.25     4
2017 196  8  0   -0.63   334.1   5.99  1.34     4
2017 196  8  1   -0.59   334.5   6.04  1.35     5
2017 196  8  2   -0.72   335.3   6.31  1.42     4
2017 196  8  3   -0.85   336.7   6.16  1.40     4
2017 196  8  4   -0.78   337.8   6.42  1.47     4
2017 196  8  5   -0.83   336.8   6.37  1.45     4
2017 196  8  6   -0.77   336.9   6.46  1.47     4
2017 196  8  7   -0.73   337.0   6.70  1.52     4
